"value","count","total_bps_count","bps_model","bps_name","groupveg","fri_replac","fri_mixed","fri_surfac","fri_allfir","label","model_label","ref_percent","cur_percent","class_percent_difference","class_representation","symbol","scientific_name","common_name","canopy_position"
1528,13,4777689,"14010_43_44_47_48_53","Central Interior Highlands Calcareous Glade and Barrens","Grassland",19,16,5,3,"B","14010_43_44_47_48_53_B",7,0,-7,"under","QUMU","Quercus muehlenbergii","Chinkapin oak","All"
1529,45,128153,"14180_47","Pennyroyal Karst Plain Prairie and Barrens","Grassland",2,75,22,1,"Barren or Sparse","14180_47_Barren or Sparse",NA,0,NA,"equal","Barren or Sparse","Barren or Sparse","Barren or Sparse","Barren or Sparse"
1530,57,128153,"14180_47","Pennyroyal Karst Plain Prairie and Barrens","Grassland",2,75,22,1,"UN","14180_47_UN",0,0,0,"equal","UN","UN","UN","UN"
1531,3907,1372058,"13530_47","Southern Appalachian Low-Elevation Pine Forest","Conifer",100,1204,2,2,"UN","13530_47_UN",0,0,0,"equal","UN","UN","UN","UN"
1532,2805,1372058,"13530_47","Southern Appalachian Low-Elevation Pine Forest","Conifer",100,1204,2,2,"C","13530_47_C",36,0,-36,"under","PIEC2","Pinus echinata","Shortleaf pine","Upper"
1532,2805,1372058,"13530_47","Southern Appalachian Low-Elevation Pine Forest","Conifer",100,1204,2,2,"C","13530_47_C",36,0,-36,"under","ANDRO2","Andropogon","Bluestem","Lower"
1532,2805,1372058,"13530_47","Southern Appalachian Low-Elevation Pine Forest","Conifer",100,1204,2,2,"C","13530_47_C",36,0,-36,"under","SCSC","Schizachyrium scoparium","Little bluestem","Lower"
1532,2805,1372058,"13530_47","Southern Appalachian Low-Elevation Pine Forest","Conifer",100,1204,2,2,"C","13530_47_C",36,0,-36,"under","DANTH","Danthonia","Oatgrass","Lower"
1533,15,545599,"13260_47","South-Central Interior/Upper Coastal Plain Flatwoods","Hardwood",187,182,5,5,"A","13260_47_A",15,0,-15,"under","QUFA","Quercus falcata","Southern red oak","Upper"
1533,15,545599,"13260_47","South-Central Interior/Upper Coastal Plain Flatwoods","Hardwood",187,182,5,5,"A","13260_47_A",15,0,-15,"under","QUAL","Quercus alba","White oak","Mid-Upper"
1533,15,545599,"13260_47","South-Central Interior/Upper Coastal Plain Flatwoods","Hardwood",187,182,5,5,"A","13260_47_A",15,0,-15,"under","QUST","Quercus stellata","Post oak","Upper"
1533,15,545599,"13260_47","South-Central Interior/Upper Coastal Plain Flatwoods","Hardwood",187,182,5,5,"A","13260_47_A",15,0,-15,"under","LIST2","Liquidambar styraciflua","Sweetgum","Mid-Upper"
1534,75,545599,"13260_47","South-Central Interior/Upper Coastal Plain Flatwoods","Hardwood",187,182,5,5,"Barren or Sparse","13260_47_Barren or Sparse",NA,0,NA,"equal","Barren or Sparse","Barren or Sparse","Barren or Sparse","Barren or Sparse"
1535,10,545599,"13260_47","South-Central Interior/Upper Coastal Plain Flatwoods","Hardwood",187,182,5,5,"B","13260_47_B",14,0,-14,"under","QUAL","Quercus alba","White oak","Upper"
1535,10,545599,"13260_47","South-Central Interior/Upper Coastal Plain Flatwoods","Hardwood",187,182,5,5,"B","13260_47_B",14,0,-14,"under","QUFA","Quercus falcata","Southern red oak","Upper"
1535,10,545599,"13260_47","South-Central Interior/Upper Coastal Plain Flatwoods","Hardwood",187,182,5,5,"B","13260_47_B",14,0,-14,"under","QUVE","Quercus velutina","Black oak","Mid-Upper"
1535,10,545599,"13260_47","South-Central Interior/Upper Coastal Plain Flatwoods","Hardwood",187,182,5,5,"B","13260_47_B",14,0,-14,"under","LIST2","Liquidambar styraciflua","Sweetgum","Mid-Upper"
1536,1971,1367396,"14130_47","Bluegrass Savanna and Woodland","Hardwood",81,132,62,28,"C","14130_47_C",28,0,-28,"under","ARGI","Arundinaria gigantea","Giant cane","Low-Mid"
1536,1971,1367396,"14130_47","Bluegrass Savanna and Woodland","Hardwood",81,132,62,28,"C","14130_47_C",28,0,-28,"under","QUMA2","Quercus macrocarpa","Bur oak","Upper"
1536,1971,1367396,"14130_47","Bluegrass Savanna and Woodland","Hardwood",81,132,62,28,"C","14130_47_C",28,0,-28,"under","ELVI3","Elymus virginicus","Virginia wildrye","Lower"
1537,201,1367396,"14130_47","Bluegrass Savanna and Woodland","Hardwood",81,132,62,28,"Barren or Sparse","14130_47_Barren or Sparse",NA,0,NA,"equal","Barren or Sparse","Barren or Sparse","Barren or Sparse","Barren or Sparse"
1538,318,1367396,"14130_47","Bluegrass Savanna and Woodland","Hardwood",81,132,62,28,"A","14130_47_A",13,0,-13,"under","ELVI3","Elymus virginicus","Virginia wildrye","Upper"
