Value,Count,apps_mzs_rast,LC20_BPS_220,LC24_SCla_250,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,LABEL
1864,144525.000000000000000,57,1824,120,13680_46_48_54_57_59_60_61,Southern Piedmont Dry Oak(-Pine) Forest,Hardwood-Conifer,325,235,5,5,Developed
1865,205.000000000000000,57,1824,4,13680_46_48_54_57_59_60_61,Southern Piedmont Dry Oak(-Pine) Forest,Hardwood-Conifer,325,235,5,5,D
1866,15.000000000000000,61,1871,2,13150_48_53_57_59_61,Southern Appalachian Oak Forest,Hardwood,604,138,16,14,B
1867,527.000000000000000,57,1823,2,13530_46_48_53_54_57_59_60_61,Southern Appalachian Low-Elevation Pine Forest,Conifer,153,66,9,7,B
1868,5554.000000000000000,59,1804,7,13150_48_53_57_59_61,Southern Appalachian Oak Forest,Hardwood,604,138,16,14,UE
1869,11694.000000000000000,59,1809,5,13520_53_54_57_59_60_61,Southern Appalachian Montane Pine Forest and Woodland,Conifer,88,101,5,5,E
1870,18.000000000000000,59,1804,2,13150_48_53_57_59_61,Southern Appalachian Oak Forest,Hardwood,604,138,16,14,B
1871,4167.000000000000000,57,1823,1,13530_46_48_53_54_57_59_60_61,Southern Appalachian Low-Elevation Pine Forest,Conifer,153,66,9,7,A
1872,520.000000000000000,59,1804,1,13150_48_53_57_59_61,Southern Appalachian Oak Forest,Hardwood,604,138,16,14,A
1873,416.000000000000000,59,1804,3,13150_48_53_57_59_61,Southern Appalachian Oak Forest,Hardwood,604,138,16,14,C
1874,6172.000000000000000,59,1804,180,13150_48_53_57_59_61,Southern Appalachian Oak Forest,Hardwood,604,138,16,14,Agriculture
1875,957.000000000000000,59,1809,7,13520_53_54_57_59_60_61,Southern Appalachian Montane Pine Forest and Woodland,Conifer,88,101,5,5,UE
1876,14936.000000000000000,59,1806,5,13180_57_59_61,Southern and Central Appalachian Cove Forest,Hardwood,994,498,100,77,E
1877,42.000000000000000,59,1809,3,13520_53_54_57_59_60_61,Southern Appalachian Montane Pine Forest and Woodland,Conifer,88,101,5,5,C
1878,3548.000000000000000,59,1806,4,13180_57_59_61,Southern and Central Appalachian Cove Forest,Hardwood,994,498,100,77,D
1879,271.000000000000000,59,1809,180,13520_53_54_57_59_60_61,Southern Appalachian Montane Pine Forest and Woodland,Conifer,88,101,5,5,Agriculture
1880,425.000000000000000,59,1809,120,13520_53_54_57_59_60_61,Southern Appalachian Montane Pine Forest and Woodland,Conifer,88,101,5,5,Developed
1881,3202.000000000000000,59,1806,7,13180_57_59_61,Southern and Central Appalachian Cove Forest,Hardwood,994,498,100,77,UE
1882,3371.000000000000000,59,1806,120,13180_57_59_61,Southern and Central Appalachian Cove Forest,Hardwood,994,498,100,77,Developed
1883,3547.000000000000000,59,1806,180,13180_57_59_61,Southern and Central Appalachian Cove Forest,Hardwood,994,498,100,77,Agriculture
1884,5.000000000000000,59,1806,2,13180_57_59_61,Southern and Central Appalachian Cove Forest,Hardwood,994,498,100,77,B
1885,82.000000000000000,59,1806,3,13180_57_59_61,Southern and Central Appalachian Cove Forest,Hardwood,994,498,100,77,C
1886,112.000000000000000,59,1806,1,13180_57_59_61,Southern and Central Appalachian Cove Forest,Hardwood,994,498,100,77,A
1887,61.000000000000000,59,1809,1,13520_53_54_57_59_60_61,Southern Appalachian Montane Pine Forest and Woodland,Conifer,88,101,5,5,A
1888,938.000000000000000,57,1824,132,13680_46_48_54_57_59_60_61,Southern Piedmont Dry Oak(-Pine) Forest,Hardwood-Conifer,325,235,5,5,Barren or Sparse
1889,2313.000000000000000,57,1824,1,13680_46_48_54_57_59_60_61,Southern Piedmont Dry Oak(-Pine) Forest,Hardwood-Conifer,325,235,5,5,A
1890,34843.000000000000000,59,1807,7,13420_59,Piedmont Hardpan Woodland and Forest,Hardwood,308,333,5,5,UE
1891,16067.000000000000000,59,1807,2,13420_59,Piedmont Hardpan Woodland and Forest,Hardwood,308,333,5,5,B
1892,8532.000000000000000,59,1807,3,13420_59,Piedmont Hardpan Woodland and Forest,Hardwood,308,333,5,5,C
1893,62204.000000000000000,59,1807,120,13420_59,Piedmont Hardpan Woodland and Forest,Hardwood,308,333,5,5,Developed
1894,43222.000000000000000,59,1807,180,13420_59,Piedmont Hardpan Woodland and Forest,Hardwood,308,333,5,5,Agriculture
1895,994.000000000000000,59,1807,5,13420_59,Piedmont Hardpan Woodland and Forest,Hardwood,308,333,5,5,E
1896,507.000000000000000,59,1807,1,13420_59,Piedmont Hardpan Woodland and Forest,Hardwood,308,333,5,5,A
1897,107937.000000000000000,59,1808,2,13510_48_54_59,Southeastern Interior Longleaf Pine Woodland,Conifer,552,299,3,3,B
1898,61825.000000000000000,59,1808,180,13510_48_54_59,Southeastern Interior Longleaf Pine Woodland,Conifer,552,299,3,3,Agriculture
1899,250.000000000000000,60,1859,6,14520_58_60,Atlantic Coastal Plain Peatland Pocosin and Canebrake,Riparian,14,16,-9999,7,UN
1900,3.000000000000000,60,1849,2,13610_58_60,Central Atlantic Coastal Plain Maritime Forest,Hardwood,357,119,113,50,B
1901,73.000000000000000,60,1859,2,14520_58_60,Atlantic Coastal Plain Peatland Pocosin and Canebrake,Riparian,14,16,-9999,7,B
1902,20.000000000000000,60,1859,132,14520_58_60,Atlantic Coastal Plain Peatland Pocosin and Canebrake,Riparian,14,16,-9999,7,Barren or Sparse
1903,61998.000000000000000,47,2086,1,14730_45_46_47_98_99,Gulf and Atlantic Coastal Plain Floodplain Systems,Riparian,115,-9999,100,53,A
1904,2717376.000000000000000,47,2086,180,14730_45_46_47_98_99,Gulf and Atlantic Coastal Plain Floodplain Systems,Riparian,115,-9999,100,53,Agriculture
1905,94760.000000000000000,47,2090,180,15090_45_47,Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest,Hardwood,479,106,88,44,Agriculture
1906,93896.000000000000000,47,2086,3,14730_45_46_47_98_99,Gulf and Atlantic Coastal Plain Floodplain Systems,Riparian,115,-9999,100,53,C
1907,1188431.000000000000000,47,2089,180,14800_47,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,-9999,-9999,219,219,Agriculture
1908,97557.000000000000000,47,2089,120,14800_47,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,-9999,-9999,219,219,Developed
1909,439562.000000000000000,47,2089,7,14800_47,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,-9999,-9999,219,219,UE
1910,5095.000000000000000,47,2089,2,14800_47,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,-9999,-9999,219,219,B
1911,573538.000000000000000,47,2089,3,14800_47,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,-9999,-9999,219,219,C
1912,35227.000000000000000,47,2089,1,14800_47,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,-9999,-9999,219,219,A
1913,1577816.000000000000000,47,2075,180,13270_45_46_47,East Gulf Coastal Plain Northern Loess Bluff Forest,Hardwood,394,356,152,84,Agriculture
1914,213293.000000000000000,47,2075,120,13270_45_46_47,East Gulf Coastal Plain Northern Loess Bluff Forest,Hardwood,394,356,152,84,Developed
1915,96197.000000000000000,47,2073,180,13250_46_47_48,East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest,Hardwood,404,159,52,36,Agriculture
1916,7027.000000000000000,47,2090,120,15090_45_47,Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest,Hardwood,479,106,88,44,Developed
1917,152967.000000000000000,47,2075,3,13270_45_46_47,East Gulf Coastal Plain Northern Loess Bluff Forest,Hardwood,394,356,152,84,C
1918,343646.000000000000000,47,2075,7,13270_45_46_47,East Gulf Coastal Plain Northern Loess Bluff Forest,Hardwood,394,356,152,84,UE
1919,53467.000000000000000,47,2089,6,14800_47,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,-9999,-9999,219,219,UN
1920,34485.000000000000000,47,2082,180,14270_47,East Gulf Coastal Plain Jackson Plain Prairie and Barrens,Grassland,18,34,12,6,Agriculture
1921,10655.000000000000000,47,2082,120,14270_47,East Gulf Coastal Plain Jackson Plain Prairie and Barrens,Grassland,18,34,12,6,Developed
1922,11832.000000000000000,47,2082,7,14270_47,East Gulf Coastal Plain Jackson Plain Prairie and Barrens,Grassland,18,34,12,6,UE
1923,428.000000000000000,47,2082,4,14270_47,East Gulf Coastal Plain Jackson Plain Prairie and Barrens,Grassland,18,34,12,6,D
1924,3256.000000000000000,47,2082,5,14270_47,East Gulf Coastal Plain Jackson Plain Prairie and Barrens,Grassland,18,34,12,6,E
1925,118.000000000000000,47,2082,1,14270_47,East Gulf Coastal Plain Jackson Plain Prairie and Barrens,Grassland,18,34,12,6,A
1926,1472835.000000000000000,47,2069,7,13070_46_47_48,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,Hardwood,388,89,9,8,UE
1927,883.000000000000000,47,2068,1,13060_47_48,East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland,Hardwood,386,87,9,8,A
1928,16111.000000000000000,47,2077,7,13570_46_47_55_58_99,Southern Coastal Plain Mesic Slope Forest,Hardwood,402,159,52,35,UE
1929,1447.000000000000000,47,2082,6,14270_47,East Gulf Coastal Plain Jackson Plain Prairie and Barrens,Grassland,18,34,12,6,UN
