Value,Count,apps_mzs_rast,LC20_BPS_220,LC24_SCla_250,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,LABEL
1,1848273.000000000000000,66,1986,7,13730_65_66,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Hardwood-Conifer,1127,-9999,-9999,1127,UE
2,13244552.000000000000000,66,1986,3,13730_65_66,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Hardwood-Conifer,1127,-9999,-9999,1127,C
3,7199004.000000000000000,66,1986,1,13730_65_66,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Hardwood-Conifer,1127,-9999,-9999,1127,A
4,18230432.000000000000000,66,1986,2,13730_65_66,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Hardwood-Conifer,1127,-9999,-9999,1127,B
5,14929791.000000000000000,66,11,111,0,Open Water,Open Water,-9999,-9999,-9999,-9999,Water
6,746224.000000000000000,66,1998,4,14940_63_65_66,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,792,-9999,-9999,792,D
7,2587070.000000000000000,66,1999,3,15260_64_65_66,Laurentian-Acadian Swamp Systems,Riparian,1011,-9999,-9999,1011,C
8,2111079.000000000000000,66,1999,6,15260_64_65_66,Laurentian-Acadian Swamp Systems,Riparian,1011,-9999,-9999,1011,UN
9,505713.000000000000000,66,1994,4,14770_63_64_65_66,Boreal Acidic Peatland Systems,Riparian,935,-9999,170,144,D
10,949410.000000000000000,66,1998,6,14940_63_65_66,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,792,-9999,-9999,792,UN
11,830588.000000000000000,66,1999,2,15260_64_65_66,Laurentian-Acadian Swamp Systems,Riparian,1011,-9999,-9999,1011,B
12,18974.000000000000000,66,1980,4,13440_66,Boreal Jack Pine-Black Spruce Forest,Conifer,214,-9999,-9999,214,D
13,642747.000000000000000,66,1986,6,13730_65_66,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Hardwood-Conifer,1127,-9999,-9999,1127,UN
14,17069460.000000000000000,66,1978,5,13020_65_66,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,983,-9999,-9999,983,E
15,4610306.000000000000000,66,1978,3,13020_65_66,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,983,-9999,-9999,983,C
16,6806493.000000000000000,66,1978,6,13020_65_66,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,983,-9999,-9999,983,UN
17,7217050.000000000000000,66,1983,4,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,482,998,289,153,D
18,1953158.000000000000000,66,1978,2,13020_65_66,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,983,-9999,-9999,983,B
19,2122920.000000000000000,66,1986,120,13730_65_66,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Hardwood-Conifer,1127,-9999,-9999,1127,Developed
20,114321.000000000000000,66,1983,3,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,482,998,289,153,C
21,780831.000000000000000,66,1983,120,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,482,998,289,153,Developed
22,272728.000000000000000,66,1983,2,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,482,998,289,153,B
23,378465.000000000000000,66,1983,7,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,482,998,289,153,UE
24,1249052.000000000000000,66,1978,120,13020_65_66,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,983,-9999,-9999,983,Developed
25,40295.000000000000000,66,1988,120,13770_60_61_63_64_65_66,Central Appalachian Pine-Oak Rocky Woodland,Hardwood-Conifer,412,384,4645,190,Developed
26,349841.000000000000000,66,1988,3,13770_60_61_63_64_65_66,Central Appalachian Pine-Oak Rocky Woodland,Hardwood-Conifer,412,384,4645,190,C
27,897712.000000000000000,66,1978,7,13020_65_66,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,983,-9999,-9999,983,UE
28,174714.000000000000000,66,1988,6,13770_60_61_63_64_65_66,Central Appalachian Pine-Oak Rocky Woodland,Hardwood-Conifer,412,384,4645,190,UN
29,130125.000000000000000,66,1978,1,13020_65_66,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,983,-9999,-9999,983,A
30,16756.000000000000000,66,1998,3,14940_63_65_66,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,792,-9999,-9999,792,C
31,170015.000000000000000,66,1998,2,14940_63_65_66,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,792,-9999,-9999,792,B
32,190354.000000000000000,66,1999,1,15260_64_65_66,Laurentian-Acadian Swamp Systems,Riparian,1011,-9999,-9999,1011,A
33,272164.000000000000000,66,1993,6,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,-9999,435,68,59,UN
34,107253.000000000000000,66,1998,120,14940_63_65_66,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,792,-9999,-9999,792,Developed
35,89079.000000000000000,66,1993,2,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,-9999,435,68,59,B
36,330073.000000000000000,66,1993,3,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,-9999,435,68,59,C
37,51435.000000000000000,66,1993,7,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,-9999,435,68,59,UE
38,72004.000000000000000,66,1998,7,14940_63_65_66,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,792,-9999,-9999,792,UE
39,241911.000000000000000,66,1994,6,14770_63_64_65_66,Boreal Acidic Peatland Systems,Riparian,935,-9999,170,144,UN
40,250196.000000000000000,66,1999,120,15260_64_65_66,Laurentian-Acadian Swamp Systems,Riparian,1011,-9999,-9999,1011,Developed
41,177647.000000000000000,66,1999,7,15260_64_65_66,Laurentian-Acadian Swamp Systems,Riparian,1011,-9999,-9999,1011,UE
42,264784.000000000000000,66,1994,3,14770_63_64_65_66,Boreal Acidic Peatland Systems,Riparian,935,-9999,170,144,C
43,33590.000000000000000,66,1994,7,14770_63_64_65_66,Boreal Acidic Peatland Systems,Riparian,935,-9999,170,144,UE
44,37965.000000000000000,66,1994,2,14770_63_64_65_66,Boreal Acidic Peatland Systems,Riparian,935,-9999,170,144,B
45,208008.000000000000000,66,1994,1,14770_63_64_65_66,Boreal Acidic Peatland Systems,Riparian,935,-9999,170,144,A
46,25717.000000000000000,66,1994,120,14770_63_64_65_66,Boreal Acidic Peatland Systems,Riparian,935,-9999,170,144,Developed
47,65349.000000000000000,66,1993,120,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,-9999,435,68,59,Developed
48,2090333.000000000000000,66,1986,180,13730_65_66,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Hardwood-Conifer,1127,-9999,-9999,1127,Agriculture
49,11188.000000000000000,66,1986,132,13730_65_66,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Hardwood-Conifer,1127,-9999,-9999,1127,Barren or Sparse
50,38324.000000000000000,66,1988,2,13770_60_61_63_64_65_66,Central Appalachian Pine-Oak Rocky Woodland,Hardwood-Conifer,412,384,4645,190,B
51,124154.000000000000000,66,1993,180,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,-9999,435,68,59,Agriculture
52,1765335.000000000000000,66,1982,2,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,309,447,65,48,B
53,1333311.000000000000000,66,1978,180,13020_65_66,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,983,-9999,-9999,983,Agriculture
54,45437.000000000000000,66,1988,4,13770_60_61_63_64_65_66,Central Appalachian Pine-Oak Rocky Woodland,Hardwood-Conifer,412,384,4645,190,D
55,21566.000000000000000,66,1988,180,13770_60_61_63_64_65_66,Central Appalachian Pine-Oak Rocky Woodland,Hardwood-Conifer,412,384,4645,190,Agriculture
56,154372.000000000000000,66,1982,7,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,309,447,65,48,UE
57,248740.000000000000000,66,1982,180,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,309,447,65,48,Agriculture
58,112830.000000000000000,66,1982,3,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,309,447,65,48,C
59,425579.000000000000000,66,1982,120,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,309,447,65,48,Developed
60,1008596.000000000000000,66,1987,1,13740_64_65_66,Acadian-Appalachian Montane Spruce-Fir Forest,Hardwood-Conifer,580,-9999,-9999,580,A
61,2963738.000000000000000,66,1987,3,13740_64_65_66,Acadian-Appalachian Montane Spruce-Fir Forest,Hardwood-Conifer,580,-9999,-9999,580,C
62,40301.000000000000000,66,1988,7,13770_60_61_63_64_65_66,Central Appalachian Pine-Oak Rocky Woodland,Hardwood-Conifer,412,384,4645,190,UE
63,35330.000000000000000,66,1982,1,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,309,447,65,48,A
64,117924.000000000000000,66,1983,1,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,482,998,289,153,A
65,2021965.000000000000000,66,1987,2,13740_64_65_66,Acadian-Appalachian Montane Spruce-Fir Forest,Hardwood-Conifer,580,-9999,-9999,580,B
66,193820.000000000000000,66,1987,6,13740_64_65_66,Acadian-Appalachian Montane Spruce-Fir Forest,Hardwood-Conifer,580,-9999,-9999,580,UN
67,113298.000000000000000,66,1987,7,13740_64_65_66,Acadian-Appalachian Montane Spruce-Fir Forest,Hardwood-Conifer,580,-9999,-9999,580,UE
68,4497.000000000000000,66,1994,180,14770_63_64_65_66,Boreal Acidic Peatland Systems,Riparian,935,-9999,170,144,Agriculture
69,283878.000000000000000,66,1999,180,15260_64_65_66,Laurentian-Acadian Swamp Systems,Riparian,1011,-9999,-9999,1011,Agriculture
70,71511.000000000000000,66,1998,180,14940_63_65_66,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,792,-9999,-9999,792,Agriculture
71,9532.000000000000000,66,31,132,0,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,-9999,-9999,-9999,-9999,Barren or Sparse
72,474030.000000000000000,66,1983,180,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,482,998,289,153,Agriculture
73,155089.000000000000000,66,1979,5,13240_60_65_66,Northern Atlantic Coastal Plain Hardwood Forest,Hardwood,48,44,4,4,E
74,142.000000000000000,66,1998,1,14940_63_65_66,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,792,-9999,-9999,792,A
75,98546.000000000000000,66,1987,120,13740_64_65_66,Acadian-Appalachian Montane Spruce-Fir Forest,Hardwood-Conifer,580,-9999,-9999,580,Developed
76,33893.000000000000000,66,1980,3,13440_66,Boreal Jack Pine-Black Spruce Forest,Conifer,214,-9999,-9999,214,C
77,1616.000000000000000,66,1980,7,13440_66,Boreal Jack Pine-Black Spruce Forest,Conifer,214,-9999,-9999,214,UE
78,13851.000000000000000,66,1980,6,13440_66,Boreal Jack Pine-Black Spruce Forest,Conifer,214,-9999,-9999,214,UN
79,113.000000000000000,66,1980,1,13440_66,Boreal Jack Pine-Black Spruce Forest,Conifer,214,-9999,-9999,214,A
80,339.000000000000000,66,1980,2,13440_66,Boreal Jack Pine-Black Spruce Forest,Conifer,214,-9999,-9999,214,B
81,702.000000000000000,66,1992,1,14720_64_65_66,Central Interior and Appalachian Riparian Systems,Riparian,984,-9999,198,165,A
82,1735.000000000000000,66,1992,180,14720_64_65_66,Central Interior and Appalachian Riparian Systems,Riparian,984,-9999,198,165,Agriculture
83,11499.000000000000000,66,1991,180,14360_65_66,Northern Atlantic Coastal Plain Dune and Swale,Grassland,10,17,-9999,6,Agriculture
84,5147.000000000000000,66,1991,1,14360_65_66,Northern Atlantic Coastal Plain Dune and Swale,Grassland,10,17,-9999,6,A
85,42334.000000000000000,66,1997,6,14900_65_66,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Riparian,508,-9999,-9999,508,UN
86,55108.000000000000000,66,1997,2,14900_65_66,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Riparian,508,-9999,-9999,508,B
87,1850.000000000000000,66,1997,180,14900_65_66,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Riparian,508,-9999,-9999,508,Agriculture
88,994.000000000000000,66,1992,7,14720_64_65_66,Central Interior and Appalachian Riparian Systems,Riparian,984,-9999,198,165,UE
89,4524.000000000000000,66,1978,132,13020_65_66,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,983,-9999,-9999,983,Barren or Sparse
90,371.000000000000000,66,1998,132,14940_63_65_66,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,792,-9999,-9999,792,Barren or Sparse
91,725.000000000000000,66,1999,132,15260_64_65_66,Laurentian-Acadian Swamp Systems,Riparian,1011,-9999,-9999,1011,Barren or Sparse
92,400.000000000000000,66,1988,132,13770_60_61_63_64_65_66,Central Appalachian Pine-Oak Rocky Woodland,Hardwood-Conifer,412,384,4645,190,Barren or Sparse
93,1023.000000000000000,66,1980,120,13440_66,Boreal Jack Pine-Black Spruce Forest,Conifer,214,-9999,-9999,214,Developed
94,36422.000000000000000,66,1996,2,14800_46_56_58_60_64_65_66,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,-9999,-9999,221,221,B
95,1959.000000000000000,66,1992,3,14720_64_65_66,Central Interior and Appalachian Riparian Systems,Riparian,984,-9999,198,165,C
96,53729.000000000000000,66,1996,7,14800_46_56_58_60_64_65_66,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,-9999,-9999,221,221,UE
97,90699.000000000000000,66,1996,120,14800_46_56_58_60_64_65_66,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,-9999,-9999,221,221,Developed
98,513514.000000000000000,66,1996,3,14800_46_56_58_60_64_65_66,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,-9999,-9999,221,221,C
99,33815.000000000000000,66,1996,1,14800_46_56_58_60_64_65_66,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,-9999,-9999,221,221,A
100,14.000000000000000,66,1980,132,13440_66,Boreal Jack Pine-Black Spruce Forest,Conifer,214,-9999,-9999,214,Barren or Sparse
101,15.000000000000000,66,-1111,-1111,-1111,Fill-Not Mapped,Fill-Not Mapped,-9999,-9999,-9999,-9999,Fill-Not Mapped
102,6076.000000000000000,66,1979,6,13240_60_65_66,Northern Atlantic Coastal Plain Hardwood Forest,Hardwood,48,44,4,4,UN
103,687.000000000000000,66,1979,2,13240_60_65_66,Northern Atlantic Coastal Plain Hardwood Forest,Hardwood,48,44,4,4,B
104,33130.000000000000000,66,1979,4,13240_60_65_66,Northern Atlantic Coastal Plain Hardwood Forest,Hardwood,48,44,4,4,D
105,24274.000000000000000,66,1979,7,13240_60_65_66,Northern Atlantic Coastal Plain Hardwood Forest,Hardwood,48,44,4,4,UE
106,8483.000000000000000,66,1979,3,13240_60_65_66,Northern Atlantic Coastal Plain Hardwood Forest,Hardwood,48,44,4,4,C
107,100338.000000000000000,66,1995,3,14790_60_61_63_64_65_66,Central Interior and Appalachian Swamp Systems,Riparian,1011,-9999,1353,578,C
108,13793.000000000000000,66,1995,2,14790_60_61_63_64_65_66,Central Interior and Appalachian Swamp Systems,Riparian,1011,-9999,1353,578,B
109,100181.000000000000000,66,1979,120,13240_60_65_66,Northern Atlantic Coastal Plain Hardwood Forest,Hardwood,48,44,4,4,Developed
110,4273.000000000000000,66,1983,132,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,482,998,289,153,Barren or Sparse
111,17006.000000000000000,66,1995,180,14790_60_61_63_64_65_66,Central Interior and Appalachian Swamp Systems,Riparian,1011,-9999,1353,578,Agriculture
112,12862.000000000000000,66,1995,7,14790_60_61_63_64_65_66,Central Interior and Appalachian Swamp Systems,Riparian,1011,-9999,1353,578,UE
113,72.000000000000000,66,1994,132,14770_63_64_65_66,Boreal Acidic Peatland Systems,Riparian,935,-9999,170,144,Barren or Sparse
114,1322634.000000000000000,66,1984,3,13690_60_61_63_64_65_66,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,182,463,15,14,C
115,21403.000000000000000,66,1995,120,14790_60_61_63_64_65_66,Central Interior and Appalachian Swamp Systems,Riparian,1011,-9999,1353,578,Developed
116,69812.000000000000000,66,1990,6,13890_64_66,Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,Shrubland,3351,1795,4331,916,UN
117,194701.000000000000000,66,1989,6,13860_66,Acadian-Appalachian Alpine Tundra,Shrubland,-9999,-9999,-9999,-9999,UN
118,3114.000000000000000,66,1982,132,13620_51_63_64_65_66,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer,309,447,65,48,Barren or Sparse
119,493835.000000000000000,66,1984,2,13690_60_61_63_64_65_66,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,182,463,15,14,B
120,1689.000000000000000,66,1990,7,13890_64_66,Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,Shrubland,3351,1795,4331,916,UE
121,12827.000000000000000,66,1987,180,13740_64_65_66,Acadian-Appalachian Montane Spruce-Fir Forest,Hardwood-Conifer,580,-9999,-9999,580,Agriculture
122,549.000000000000000,66,1987,132,13740_64_65_66,Acadian-Appalachian Montane Spruce-Fir Forest,Hardwood-Conifer,580,-9999,-9999,580,Barren or Sparse
123,22882.000000000000000,66,1984,6,13690_60_61_63_64_65_66,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,182,463,15,14,UN
124,197338.000000000000000,66,1984,7,13690_60_61_63_64_65_66,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,182,463,15,14,UE
125,63651.000000000000000,66,1984,1,13690_60_61_63_64_65_66,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,182,463,15,14,A
126,27362.000000000000000,66,1995,6,14790_60_61_63_64_65_66,Central Interior and Appalachian Swamp Systems,Riparian,1011,-9999,1353,578,UN
127,1408.000000000000000,66,1992,2,14720_64_65_66,Central Interior and Appalachian Riparian Systems,Riparian,984,-9999,198,165,B
128,12582.000000000000000,66,1997,7,14900_65_66,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Riparian,508,-9999,-9999,508,UE
129,2453.000000000000000,66,1997,3,14900_65_66,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Riparian,508,-9999,-9999,508,C
130,13897.000000000000000,66,1997,120,14900_65_66,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Riparian,508,-9999,-9999,508,Developed
131,1470.000000000000000,66,1992,120,14720_64_65_66,Central Interior and Appalachian Riparian Systems,Riparian,984,-9999,198,165,Developed
132,6846.000000000000000,66,1989,7,13860_66,Acadian-Appalachian Alpine Tundra,Shrubland,-9999,-9999,-9999,-9999,UE
133,494.000000000000000,66,1990,120,13890_64_66,Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,Shrubland,3351,1795,4331,916,Developed
134,118.000000000000000,66,1979,1,13240_60_65_66,Northern Atlantic Coastal Plain Hardwood Forest,Hardwood,48,44,4,4,A
135,45.000000000000000,66,1989,2,13860_66,Acadian-Appalachian Alpine Tundra,Shrubland,-9999,-9999,-9999,-9999,B
136,80.000000000000000,66,1990,4,13890_64_66,Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,Shrubland,3351,1795,4331,916,D
137,14.000000000000000,66,1990,2,13890_64_66,Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,Shrubland,3351,1795,4331,916,B
138,380.000000000000000,66,1989,1,13860_66,Acadian-Appalachian Alpine Tundra,Shrubland,-9999,-9999,-9999,-9999,A
139,78156.000000000000000,66,1984,180,13690_60_61_63_64_65_66,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,182,463,15,14,Agriculture
140,317740.000000000000000,66,1984,120,13690_60_61_63_64_65_66,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,182,463,15,14,Developed
141,4505.000000000000000,66,1989,120,13860_66,Acadian-Appalachian Alpine Tundra,Shrubland,-9999,-9999,-9999,-9999,Developed
142,18.000000000000000,66,1990,3,13890_64_66,Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,Shrubland,3351,1795,4331,916,C
143,22.000000000000000,66,1995,1,14790_60_61_63_64_65_66,Central Interior and Appalachian Swamp Systems,Riparian,1011,-9999,1353,578,A
144,22481.000000000000000,66,1979,180,13240_60_65_66,Northern Atlantic Coastal Plain Hardwood Forest,Hardwood,48,44,4,4,Agriculture
145,49.000000000000000,66,1980,180,13440_66,Boreal Jack Pine-Black Spruce Forest,Conifer,214,-9999,-9999,214,Agriculture
146,251270.000000000000000,66,1985,6,13700_60_63_64_65_66,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,1010,1122,-9999,531,UN
147,685046.000000000000000,66,1985,120,13700_60_63_64_65_66,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,1010,1122,-9999,531,Developed
148,124.000000000000000,66,1993,132,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Riparian,-9999,435,68,59,Barren or Sparse
149,98.000000000000000,66,1990,180,13890_64_66,Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,Shrubland,3351,1795,4331,916,Agriculture
150,1233006.000000000000000,66,1985,3,13700_60_63_64_65_66,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,1010,1122,-9999,531,C
151,11.000000000000000,66,1990,132,13890_64_66,Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,Shrubland,3351,1795,4331,916,Barren or Sparse
152,2489237.000000000000000,66,1985,2,13700_60_63_64_65_66,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,1010,1122,-9999,531,B
153,70828.000000000000000,66,1991,6,14360_65_66,Northern Atlantic Coastal Plain Dune and Swale,Grassland,10,17,-9999,6,UN
154,283554.000000000000000,66,1985,180,13700_60_63_64_65_66,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,1010,1122,-9999,531,Agriculture
155,12804.000000000000000,66,1991,7,14360_65_66,Northern Atlantic Coastal Plain Dune and Swale,Grassland,10,17,-9999,6,UE
156,296108.000000000000000,66,1985,7,13700_60_63_64_65_66,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,1010,1122,-9999,531,UE
157,1165.000000000000000,66,1985,1,13700_60_63_64_65_66,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood,1010,1122,-9999,531,A
158,13.000000000000000,66,1997,132,14900_65_66,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Riparian,508,-9999,-9999,508,Barren or Sparse
159,32.000000000000000,66,1997,1,14900_65_66,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Riparian,508,-9999,-9999,508,A
160,97582.000000000000000,64,1963,6,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,Hardwood,993,-9999,-9999,993,UN
161,2869425.000000000000000,64,1943,6,13020_64,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,2108,-9999,-9999,2108,UN
162,85509.000000000000000,64,1943,1,13020_64,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,2108,-9999,-9999,2108,A
163,24687.000000000000000,64,1963,1,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,Hardwood,993,-9999,-9999,993,A
164,682055.000000000000000,64,1943,2,13020_64,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,2108,-9999,-9999,2108,B
165,458606.000000000000000,64,1956,6,14710_64_65,Central Interior and Appalachian Floodplain Systems,Riparian,603,392,120,80,UN
166,153859.000000000000000,64,1956,1,14710_64_65,Central Interior and Appalachian Floodplain Systems,Riparian,603,392,120,80,A
167,22796.000000000000000,64,1950,1,13730_63_64,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Hardwood-Conifer,1053,-9999,-9999,1053,A
168,523391.000000000000000,64,1963,2,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,Hardwood,993,-9999,-9999,993,B
169,393837.000000000000000,64,1947,2,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,482,998,289,153,B
170,10219707.000000000000000,64,1943,5,13020_64,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,2108,-9999,-9999,2108,E
171,153340.000000000000000,64,1964,6,15260_64_65_66,Laurentian-Acadian Swamp Systems,Riparian,1011,-9999,-9999,1011,UN
172,204713.000000000000000,64,1964,3,15260_64_65_66,Laurentian-Acadian Swamp Systems,Riparian,1011,-9999,-9999,1011,C
173,3046476.000000000000000,64,1948,3,13690_60_61_63_64_65_66,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,182,463,15,14,C
174,4676792.000000000000000,64,1943,3,13020_64,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,2108,-9999,-9999,2108,C
175,404259.000000000000000,64,1950,2,13730_63_64,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Hardwood-Conifer,1053,-9999,-9999,1053,B
176,10577561.000000000000000,64,1947,4,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Hardwood-Conifer,482,998,289,153,D
177,1539685.000000000000000,64,1948,2,13690_60_61_63_64_65_66,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,182,463,15,14,B
178,9383.000000000000000,64,1950,6,13730_63_64,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Hardwood-Conifer,1053,-9999,-9999,1053,UN
179,3514049.000000000000000,64,1943,180,13020_64,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,2108,-9999,-9999,2108,Agriculture
180,492826.000000000000000,64,1963,180,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,Hardwood,993,-9999,-9999,993,Agriculture
181,825277.000000000000000,64,1948,180,13690_60_61_63_64_65_66,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,182,463,15,14,Agriculture
182,2061025.000000000000000,64,1943,7,13020_64,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,2108,-9999,-9999,2108,UE
183,22182.000000000000000,64,1964,2,15260_64_65_66,Laurentian-Acadian Swamp Systems,Riparian,1011,-9999,-9999,1011,B
184,128575.000000000000000,64,1948,1,13690_60_61_63_64_65_66,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,182,463,15,14,A
185,31657.000000000000000,64,1948,6,13690_60_61_63_64_65_66,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,182,463,15,14,UN
186,1425100.000000000000000,64,1943,120,13020_64,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,2108,-9999,-9999,2108,Developed
187,946845.000000000000000,64,1948,7,13690_60_61_63_64_65_66,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer,182,463,15,14,UE
188,14838.000000000000000,64,1964,180,15260_64_65_66,Laurentian-Acadian Swamp Systems,Riparian,1011,-9999,-9999,1011,Agriculture
189,129854.000000000000000,64,1963,7,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,Hardwood,993,-9999,-9999,993,UE
